List of available exchange places 2023-2024;;;;;;;;;;;;;;;;;;;;;;;;;
Country;Continent;UNIVERSITY;School / Faculty / College;City;Outgoing UG/G slots 2023-2024;"Available semesters
fall / spring";"Language of
instruction";CEMS;AACSB;EQUIS;AMBA;Level of studies: UG;Level of studies: G;Notes on the allocations;Term structure;Fall term;Spring term;IMPORTANT NOTES (studies, campus);ADDITIONAL REQUIREMENTS (language, GPA, work experience, age etc.) ;POSSIBLE  CHALLENGES;;;;;
Mexico;Latin America;ITAM, Instituto Tecnológico Autónomo de México;;Mexico City;4;f, s;UG: Eng, Spa G: Spa (eng);;x;x;x;UG;G (MBA);;"UG: sem
G: tri";"UG: Aug-Dec G: Sep-Dec
";"UG:Jan-Jun G: Jan-Mar, Apr-Jun
";G student to MBA program. UG: 35-40 courses in Eng per semester on UG level.;G: 1-year work experience required. G level mostly in Spanish;;;;;;
Mexico;Latin America;Instituto Tecnologico y de Estudios Superiores de Monterrey (ITESM);Campus Monterrey, Campus Guadalajara, Campus Querétaro and Campus Mexico City;Monterrey, Guadalajara, Querétaro and Mexico City;8;f, s;Spa, Eng;;;;;UG;;;sem;Aug-Dec;Feb-June;Please write on the additional information of the online eapplication (in order of preference) to which campuses you wish to apply to. ;;;;;;;
Mexico;Latin America;Instituto Tecnologico y de Estudios Superiores de Monterrey (ITESM);EGADE Business School;Monterrey, Mexico City (Santa Fe) or Guadalajara ;4;f, s;G: Spa, Eng;;x;x;x;;G;;tri;Sep-Dec;Winter: Jan-Apr Spring: Apr-July;Number one in Latin America. Please write on the additional information of the online application (in order of preference) to which of the 3 campuses you wish to apply to. ;;;;;;;
Peru;Latin America;Universidad del Pacifico;;Lima;3;f, s;"UG: Eng, Spa
G: Spa";;x;;x;UG;G;;sem;Aug-Dec;Mar-July;Approx. 50 courses in Eng / sem. 4th-5th year courses can be considered masters level. ;At least basics of Spanish recommended.;;;;;;
Peru;Latin America;Universidad ESAN;School of Economics and Management;Lima;4;f,s;UG: Spa, Eng, G: Spa;;x;;x;UG;G;2 UG, 2 G (MBA);sem;"UG: Aug-Dec
G: Aug-Dec";UG: Mar-Jul G: Jan-April;"UG: Limited amount of courses in English. Spanish skills highly recommended. 
";G: Min 2 yrs corporate work experience required. Internships are not valid. For 2nd yr MSc students only. Spanish skills required (CEFR B2).;;;;;;
NORTH AMERICA;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;North America;HEC Montreal;;Montréal;10;f, s;Fr, Eng;;x;x;x;UG;G;;sem;Aug-Dec;Jan-Apr;MSc students take advanced level BSc courses. .; It is compulsory for all incoming exchange students to purchase the Sun Life Company Health Insurance Plan from HEC Montréal. The Health Insurance Plan covers prescription drugs, medical and hospital expenses. No other private health insurance plan is accepted. Payment is required upon arrival by credit card or international bank card only (no cash accepted). >$367 CA for one semester, price subject to change;;;;;;
Canada;North America;Queen's University;Smith School of Business;Kingston;10;"f, s
";Eng;;x;x;;UG;G (MBA, MSC);6 UG, 4 G;sem;Sep-Dec;Jan-Apr;G level: In fall students enter MBA program, in spring Master of International Business (MIB). For 2nd year MSc students only. ;;;;;;;
Canada;North America;Simon Fraser University;Beedie School of Business;Vancouver;2;f, s;Eng;;x;x;;UG;;;sem;end Aug -mid Dec;Jan - Apr;Min. 3 courses should be taken from the School of Business, 2 courses can be taken from other units of the university.;;SFU owns student housing, but housing is not guaranteed,  in general housing situation in Vancouver is difficult. ;;;;;
Canada;North America;Universite de Laval ;Faculte des Sciences de l'administration;Quebec;6;f, s;Fr, Eng ;;x;x;;UG;G;;sem;Sep-Dec;Jan-Apr;;;;;;;;
